Student_Id,Question,Answer Choices,Answer,Difficulty,Assigned Points
Candidate 481,"Filhåndtering.
Når dagen er over og restauranten stenger slår Rudolf av systemet for å spare strøm. Han
trenger derfor en måte å lagre ordrehistorikken på selv når strømmen er avslått, og for å kunne
hente den fram igjen ved en annen anledning. Han bestemmer seg for å lagre hver bestilling til en
fil etterhvert som de kommer inn.

I denne oppgaven skal du definere to funksjoner, en for å skrive til en fil og en for å lese fra en fil.
Filen bør være en json-fil.
Del A og del B teller likt.

A)
Definer en funksjon som skal hete save_order_to_file(). Denne skal ta minst 2 parametere:
   file_name - navnet på filen det skal lagres til - en string
   order - en oversikt over hvor mange av hver rett som er bestilt - en dictionary

Funksjonen skal så lagre bestillingen (order) til filen.
Merk at tanken bak funksjonen er at den skal lagre én ordre per fil.

B)
Definer en funksjon som skal hete load_order_from_file(). Denne skal ta minst 1 parameter:
     file_name - navnet på filen det skal leses fra - en string

Dersom filen ikke finnes skal det skrives ut ""Fant ikke filen"".
Funksjonen skal lese fra filen og returnere innholdet fra filen.


Skriv ditt svar her",,,medium,2.0
Candidate 482,"Hvordan starter du en while-loop?
Velg ett alternativ:","A) while x > y
B) x < y while {
C) while (x > y)
D) while x > y:",D) while x > y:,easy,0.75
Candidate 482,"Hvilken syntaks er korrekt for å opprette en funksjon? 
Velg ett alternativ:","A) create myFunction():
B) def myFunction():
C) function myFunction():
D) gen myFunction():",B) def myFunction():,easy,0.75
Candidate 482,"Hvilket alternativ passer best til følgende beskrivelse? ""En samling (i form av en fil) med kode-funksjonalitet vi kan importere og benytte i koden vår."" 
Velg ett alternativ:","A) Modul
B) Funksjon
C) For-loop
D) Exception",D) Exception,easy,0.25
Candidate 482,"Hvilken av disse samlingene definerer en liste? 
Velg ett alternativ:","A) {""species"": ""honey badger"", ""name"": ""Nils""}
B) (""dog"", ""cat"", ""honey badger"")
C) {""dog"", ""cat"", ""honey badger""}
D) [""dog"", ""cat"", ""honey badger""]","D) [""dog"", ""cat"", ""honey badger""]",easy,0.5
Candidate 482,"Hvilken operator kan brukes til å gi en variabel en ny verdi? 
Velg ett alternativ:","A) >
B) +=
C) !=
D) ==",B) +=,easy,0.5
Candidate 482,"Hvilken av de følgende kodelinjene oppretter en for-løkke som vil kjøre 6 ganger? 
Velg ett alternativ","A) for number < 6:
B) for 0 in 6:
C) for number in range(6):
D) for number in numbers[6]",C) for number in range(6):,medium,1.0
Candidate 482,"Hvilken av de følgende kodelinjene legger til et nytt element på slutten av listen? 

animals = [""dog"", ""cat""] 
cow = ""cow"" 
Velg ett alternativ:","A) animals.pop(cow)
B) animals[-1] = cow
C) animals[""cow""] = cow
D) animals.append(cow)",B) animals[-1] = cow,easy,0.75
Candidate 482,"Hva brukes elif til i Python? 
Velg ett alternativ:","A) Det er kort for 'else if', og brukes når vi vil ha flere enn én if-test.
B) Det brukes som nøkkelord for kode som alltid skal kjøres i en if-test.
C) Vi må ha med elif på slutten av en løkke.
D) Det finnes ikke noe nøkkelord som heter elif i Python.","A) Det er kort for 'else if', og brukes når vi vil ha flere enn én if-test.",easy,0.5
Candidate 482,"Hvilket alternativ passer best til følgende beskrivelse?:

""En navngitt referanse til en verdi.""

Velg ett alternativ:","A) Liste
B) Funksjon
C) Variabel
D) Klasse",C) Variabel,easy,0.25
